,School,Type,Grades,Total students enrolled,Students per teacher,District,Score,Rating,Address,Length
2838,Oakbrook Elementary School,Public district,K-8,546.0,25:1,Fairfield-Suisun Unified School District,6,Average,"700 Oakbrook Drive, Fairfield, CA, 94534",2
2839,Suisun Valley Elementary School,Public district,K-8,597.0,27:1,Fairfield-Suisun Unified School District,6,Average,"4985 Lambert Road, Fairfield, CA, 94534",2
2840,Golden West Middle School,Public district,7-8,846.0,21:1,Travis Unified School District,6,Average,"2651 De Ronde Drive, Fairfield, CA, 94533",2
2841,Center Elementary,Public district,K-6,508.0,20:1,Travis Unified School District,5,Average,"3101 Markeley Ln, Fairfield, CA, 94533",2
2842,Armijo High School,Public district,9-12,2108.0,24:1,Fairfield-Suisun Unified School District,4,Below average,"824 Washington Street, Fairfield, CA, 94533",2
2843,Laurel Creek Elementary School,Public district,K-6,707.0,23:1,Fairfield-Suisun Unified School District,4,Below average,"2900 Gulf Drive, Fairfield, CA, 94533",2
2844,B. Gale Wilson Elementary School,Public district,K-8,899.0,22:1,Fairfield-Suisun Unified School District,4,Below average,"3301 Cherry Hills Court, Fairfield, CA, 94534",2
2845,Weir Preparatory Academy,Public district,K-8,768.0,25:1,Fairfield-Suisun Unified School District,3,Below average,"1975 Pennsylvania Avenue, Fairfield, CA, 94533",2
2846,Fairfield High School,Public district,9-12,1489.0,24:1,Fairfield-Suisun Unified School District,3,Below average,"205 East Atlantic Avenue, Fairfield, CA, 94533",2
2847,Fairview Elementary School,Public district,K-5,587.0,23:1,Fairfield-Suisun Unified School District,3,Below average,"830 First Street, Fairfield, CA, 94533",2
2848,Cleo Gordon Elementary School,Public district,K-5,607.0,24:1,Fairfield-Suisun Unified School District,3,Below average,"1950 Dover Avenue, Fairfield, CA, 94533",2
2849,Grange Middle School,Public district,6-8,905.0,25:1,Fairfield-Suisun Unified School District,3,Below average,"1975 Blossom Avenue, Fairfield, CA, 94533",2
2850,E. Ruth Sheldon Academy Of Innovative Learning,Public district,K-8,603.0,24:1,Fairfield-Suisun Unified School District,3,Below average,"1901 Woolner Avenue, Fairfield, CA, 94533",2
2851,Tolenas Elementary School,Public district,K-5,414.0,23:1,Fairfield-Suisun Unified School District,3,Below average,"4500 Tolenas Road, Fairfield, CA, 94533",2
2852,Dover Academy For International Studies,Public district,K-8,662.0,,Fairfield-Suisun Unified School District,2,Below average,"301 East Alaska Avenue, Fairfield, CA, 94533",2
2853,Anna Kyle Elementary School,Public district,K-5,722.0,27:1,Fairfield-Suisun Unified School District,2,Below average,"1600 Kidder Avenue, Fairfield, CA, 94533",2
2854,Matt Garcia Learning Center,Public district,6-12,226.0,13:1,Fairfield-Suisun Unified School District,1,Below average,"1100 Civic Center Drive, Fairfield, CA, 94533",2
2855,Mcnair Middle School,Public district,5-6,747.0,14:1,Fayetteville School District,9,Above average,"3030 East Mission Boulevard, Fayetteville, AR, 72703",2
2856,Haas Hall Academy - Fayetteville,Public charter,7-12,363.0,17:1,Haas Hall Academy,9,Above average,"3155 North College Avenue, Fayetteville, AR, 72703",4
2857,Root Elementary School,Public district,K-4,417.0,13:1,Fayetteville School District,9,Above average,"1529 East Mission Boulevard, Fayetteville, AR, 72701",2
2858,Butterfield Elementary School,Public district,K-4,529.0,14:1,Fayetteville School District,8,Above average,"3050 Old Missouri Road, Fayetteville, AR, 72703",2
2859,Leverett Elementary School,Public district,K-4,276.0,12:1,Fayetteville School District,8,Above average,"1124 Cleveland Street, Fayetteville, AR, 72701",2
2860,Woodland Junior High School,Public district,7-8,746.0,13:1,Fayetteville School District,8,Above average,"1 East Poplar Street, Fayetteville, AR, 72703",2
2861,Jerry Pop Williams Elementary School,Public district,K-3,383.0,14:1,Farmington School District,7,Above average,"322 Broyles Street, Fayetteville, AR, 72730",2
2862,Vandergriff Elementary School,Public district,K-4,670.0,15:1,Fayetteville School District,7,Above average,"2975 East Township Street, Fayetteville, AR, 72703",2
2863,Happy Hollow Elementary School,Public district,K-4,498.0,13:1,Fayetteville School District,7,Above average,"300 South Ray Avenue, Fayetteville, AR, 72701",2
2864,Fayetteville Virtual Academy-Dist Conversion Charter School,Public charter,4-8,214.0,,Fayetteville School District,7,Above average,"300 South Ray Avenue, Fayetteville, AR, 72701",2
2865,Holcomb Elementary School,Public district,K-4,656.0,13:1,Fayetteville School District,6,Average,"2900 North Salem Road, Fayetteville, AR, 72704",2
2866,Greenland High School,Public district,9-12,276.0,11:1,Greenland School District,6,Average,"30 North Sandy Avenue, Fayetteville, AR, 72701",2
2867,Holt Middle School,Public district,5-6,459.0,11:1,Fayetteville School District,5,Average,"2365 North Rupple Rd, Fayetteville, AR, 72704",2
2868,Owl Creek School,Public district,K-6,762.0,12:1,Fayetteville School District,5,Average,"375 North Rupple Road, Fayetteville, AR, 72704",2
2869,Fayetteville High School East,Public district,9-12,2568.0,14:1,Fayetteville School District,5,Average,"1001 West Stone Street, Fayetteville, AR, 72701",4
2870,Ramay Junior High School,Public district,7-8,634.0,12:1,Fayetteville School District,5,Average,"401 South Sang Avenue, Fayetteville, AR, 72701",2
2871,Greenland Middle School,Public district,5-8,234.0,14:1,Greenland School District,4,Below average,"55 North Sandy Avenue, Fayetteville, AR, 72701",2
2872,Asbell Elementary School,Public district,K-4,324.0,11:1,Fayetteville School District,4,Below average,"1500 North Sang Avenue, Fayetteville, AR, 72703",2
2873,Washington Elementary School,Public district,K-4,313.0,12:1,Fayetteville School District,4,Below average,"425 Highland Avenue, Fayetteville, AR, 72701",2
2880,Cross Creek Early College,Public district,9-12,278.0,13:1,Cumberland County School District,10,Top rated,"1200 Murchison Road, Fayetteville, NC, 28301",4
2881,Howard Health & Life Sciences High School,Public district,9-12,245.0,12:1,Cumberland County School District,9,Above average,"2201 Hull Road, Fayetteville, NC, 28303",2
2882,Seventy-First Classical Middle School,Public district,6-8,486.0,14:1,Cumberland County School District,9,Above average,"6830 Raeford Road, Fayetteville, NC, 28304",2
2883,Cumberland International Early College High SchoolNorth Carolina,Public district,9-12,252.0,15:1,Cumberland County School District,9,Above average,"1200 Murchison Rd, Fayetteville, NC, 28303",2
2884,Jack Britt High School,Public district,9-12,1970.0,16:1,Cumberland County School District,8,Above average,"7403 Rockfish Rd, Fayetteville, NC, 28306",2
2885,Alpha Academy,Public charter,K-9,853.0,18:1,Alpha Academy School District,8,Above average,"8030 Raeford Road, Fayetteville, NC, 28314",2
2886,E E Miller Elementary,Public district,PK-5,560.0,13:1,Cumberland County School District,8,Above average,"1361 Rim Road, Fayetteville, NC, 28314",2
2887,Massey Hill Classical High SchoolNorth Carolina,Public district,9-12,287.0,14:1,Cumberland County School District,7,Above average,"1062 Southern Avenue, Fayetteville, NC, 28306",2
2888,New Century International Elementary,Public district,PK-5,789.0,12:1,Cumberland County School District,7,Above average,"7465 Century Circle , Fayetteville, NC, 28306",2
2889,New Century International Middle School,Public district,6-8,397.0,13:1,Cumberland County School District,7,Above average,"7455 Century Circle, Fayetteville, NC, 28306",2
2890,Elizabeth M Cashwell Elementary School,Public district,PK-5,607.0,13:1,Cumberland County School District,6,Average,"2970 Legion Road, Fayetteville, NC, 28306",2
2891,Cumberland Mills Elementary School,Public district,PK-5,649.0,12:1,Cumberland County School District,6,Average,"2576 Hope Mills Road, Fayetteville, NC, 28306",2
2892,John R Griffin Middle,Public district,6-8,1008.0,15:1,Cumberland County School District,6,Average,"5551 Fisher Road, Fayetteville, NC, 28304",2
2893,Ireland Drive Middle,Public district,6-8,293.0,10:1,Cumberland County School District,6,Average,"1606 Ireland Drive, Fayetteville, NC, 28304",2
2894,Reid Ross Classical,Public district,9-12,293.0,7:1,Cumberland County School District,6,Average,"3200 Ramsey Street, Fayetteville, NC, 28301",4
2895,Brentwood Elementary,Public district,PK-5,537.0,12:1,Cumberland County School District,6,Average,"1115 Bingham Drive, Fayetteville, NC, 28304",2
2896,Cape Fear High,Public district,9-12,1482.0,14:1,Cumberland County School District,5,Average,"4762 Clinton Road, Fayetteville, NC, 28312",2
2897,Eastover Central Elementary,Public district,PK-5,391.0,12:1,Cumberland County School District,5,Average,"5174 Dunn Road, Fayetteville, NC, 28312",2
2898,Cliffdale Elementary,Public district,PK-5,693.0,11:1,Cumberland County School District,5,Average,"6450 Cliffdale Road, Fayetteville, NC, 28314",2
2899,J W Coon Elementary,Public district,PK-5,218.0,10:1,Cumberland County School District,5,Average,"905 Hope Mills Road, Fayetteville, NC, 28304",2
2900,Stoney Point Elementary,Public district,K-5,910.0,15:1,Cumberland County School District,5,Average,"7411 Rockfish Road, Fayetteville, NC, 28306",2
2901,J W Seabrook Elementary,Public district,PK-5,251.0,10:1,Cumberland County School District,5,Average,"4619 North Carolina 210, Fayetteville, NC, 28311",2
2902,Warrenwood Elementary,Public district,PK-5,379.0,10:1,Cumberland County School District,5,Average,"4618 Rosehill Road, Fayetteville, NC, 28311",2
2903,Westarea Elementary,Public district,PK-5,577.0,12:1,Cumberland County School District,5,Average,"941 Country Club Drive, Fayetteville, NC, 28301",2
2904,Westover Middle,Public district,6-8,703.0,13:1,Cumberland County School District,5,Average,"275 Bonanza Drive, Fayetteville, NC, 28303",2
2905,Northland Preparatory Academy,Public charter,6-12,644.0,15:1,Northland Preparatory Academy,9,Above average,"3300 Sparrow Avenue, Flagstaff, AZ, 86004",2
2906,BASIS Flagstaff,Public charter,K-12,631.0,14:1,Basis Charter Schools INC. (90862),9,Above average,"1700 North Gemini Road, Flagstaff, AZ, 86001",2
2907,Charles W Sechrist Elementary School,Public district,PK-5,477.0,18:1,Flagstaff Unified District,8,Above average,"2230 North Fort Valley Road, Flagstaff, AZ, 86001",2
2908,Flagstaff Arts And Leadership Academy,Public charter,7-12,273.0,15:1,Flagstaff Arts And Leadership Academy,7,Above average,"3401 North Fort Valley Road, Flagstaff, AZ, 86001",2
2909,Flagstaff High School,Public district,9-12,1496.0,18:1,Flagstaff Unified District,6,Average,"400 West Elm Avenue, Flagstaff, AZ, 86001",2
2910,Eva Marshall Elementary School,Public district,PK-6,489.0,16:1,Flagstaff Unified District,5,Average,"850 North Bonito Street, Flagstaff, AZ, 86001",2
2911,Manuel De Miguel Elementary School,Public district,PK-5,694.0,19:1,Flagstaff Unified District,5,Average,"3500 South Gillenwater Drive, Flagstaff, AZ, 86001",2
2912,Sturgeon Cromer Elementary School,Public district,PK-5,585.0,17:1,Flagstaff Unified District,5,Average,"7150 Silver Saddle Road, Flagstaff, AZ, 86004",2
2913,Weitzel's Puente De Hozho Bilingual Magnet School,Public district,PK-5,356.0,14:1,Flagstaff Unified District,5,Average,"3401 North Fourth Street, Flagstaff, AZ, 86004",2
2914,Coconino High School,Public district,9-12,1382.0,15:1,Flagstaff Unified District,4,Below average,"2801 North Izabel Street, Flagstaff, AZ, 86004",2
2915,John Q Thomas Elementary School,Public district,K-5,453.0,16:1,Flagstaff Unified District,4,Below average,"3330 East Lockett Road, Flagstaff, AZ, 86004",2
2916,Thomas M Knoles Elementary School,Public district,K-5,605.0,19:1,Flagstaff Unified District,4,Below average,"4005 East Butler Avenue, Flagstaff, AZ, 86004",2
2917,Sinagua Middle School,Public district,6-8,1093.0,16:1,Flagstaff Unified District,4,Below average,"3950 East Butler Avenue, Flagstaff, AZ, 86004",2
2918,Lura Kinsey Elementary School,Public district,PK-5,397.0,15:1,Flagstaff Unified District,3,Below average,"1601 South Lone Tree Road, Flagstaff, AZ, 86001",2
2919,Mount Elden Middle School,Public district,6-8,896.0,13:1,Flagstaff Unified District,3,Below average,"3223 North Fourth Street, Flagstaff, AZ, 86004",2
2920,W F Killip Elementary School,Public district,PK-5,445.0,14:1,Flagstaff Unified District,3,Below average,"2300 East 6th Avenue, Flagstaff, AZ, 86004",2
2930,Genesee Early College,Public district,9-12,192.0,33:1,Carman-Ainsworth Community Schools,7,Above average,"2413 West Maple Avenue, Flint, MI, 48507",4
2931,Eagle's Nest Academy,Public charter,K-5,244.0,22:1,Eagle's Nest Academy,6,Average,"5005 Cloverlawn Drive, Flint, MI, 48504",2
2932,Leota Fiedler Elementary School,Public district,1-12,483.0,21:1,Kearsley Community School District,6,Average,"6317 Nightingale Drive, Flint, MI, 48506",2
2933,Kearsley High School,Public district,9-12,1030.0,24:1,Kearsley Community School District,6,Average,"4302 Underhill Drive, Flint, MI, 48506",2
2934,Armstrong Middle School,Public district,6-12,680.0,23:1,Kearsley Community School District,6,Average,"6161 Hopkins Road, Flint, MI, 48506",2
2935,Linden Charter Academy,Public charter,K-8,766.0,22:1,Linden Charter Academy,6,Average,"3244 North Linden Road, Flint, MI, 48504",2
2936,Carman-Ainsworth Baker Career Academy,Public district,9-12,49.0,16:1,Carman-Ainsworth Community Schools,5,Average,"1122 West Bristol Road, Flint, MI, 48507",2
2937,Mott Middle College High School,Public district,9-12,348.0,25:1,Carman-Ainsworth Community Schools,5,Average,"1401 East Court Street, Flint, MI, 48503",2
2938,Eisenhower School,Public district,K-12,308.0,16:1,"Flint, School District Of The City Of",5,Average,"1235 Pershing Street, Flint, MI, 48503",2
2939,Freeman School,Public district,K-6,307.0,16:1,"Flint, School District Of The City Of",5,Average,"4001 Ogema Avenue, Flint, MI, 48507",2
2940,Kate Dowdall Elementary School,Public district,K-12,425.0,22:1,Kearsley Community School District,5,Average,"3333 Shillelagh Drive, Flint, MI, 48506",2
2941,Northridge Academy,Public charter,K-12,248.0,20:1,Northridge Academy,5,Average,"4100 Coldwater Road, Flint, MI, 48504",2
2942,Madison Academy Elementary/Middle School,Public charter,K-12,247.0,14:1,Madison Academy,5,Average,"6170 Torrey Road, Flint, MI, 48507",2
2943,Randels Elementary School,Public district,K-5,552.0,19:1,Carman-Ainsworth Community Schools,5,Average,"6022 Brobeck Street, Flint, MI, 48532",2
2944,Carman-Ainsworth High School,Public district,8-12,1332.0,20:1,Carman-Ainsworth Community Schools,5,Average,"1300 North Linden Road, Flint, MI, 48532",2
2945,Potter School,Public district,K-8,382.0,17:1,"Flint, School District Of The City Of",4,Below average,"2500 North Averill Avenue, Flint, MI, 48506",2
2946,Doyle/Ryder School,Public district,K-6,288.0,14:1,"Flint, School District Of The City Of",4,Below average,"1040 Saginaw Street, Flint, MI, 48503",2
2948,Colonel Donald Mcmonagle Elementary School,Public district,K-12,433.0,14:1,Westwood Heights Schools,4,Below average,"3484 North Jennings Road, Flint, MI, 48504",2
2949,Gateway to College-Mott Community College,Public district,9-12,32.0,,"Flint, School District Of The City Of",4,Below average,"1401 East Court Street, Flint, MI, 48503",2
2950,Durant Tuuri Mott School,Public district,K-7,636.0,18:1,"Flint, School District Of The City Of",3,Below average,"1518 University Avenue, Flint, MI, 48504",2
2952,Pierce School,Public district,K-6,220.0,14:1,"Flint, School District Of The City Of",3,Below average,"1101 West Vernon Drive, Flint, MI, 48503",2
2953,Hamady Community High School,Public district,9-12,348.0,19:1,Westwood Heights Schools,3,Below average,"3223 West Carpenter Road, Flint, MI, 48504",2
2954,Elmer A. Knopf Learning Center,Public district,K-12,400.0,13:1,Genesee Independent School District,3,Below average,"1493 West Maple Avenue, Flint, MI, 48507",2
2955,Royall Elementary School,Public district,K-6,640.0,15:1,Florence 01 School District,7,Above average,"1101 Cheraw Drive, Florence, SC, 29501",2
