,School,Score,Rating,Address
6294,Aurora CCC-Salvation Army,Currently unrated,7/10,"802 Quarry Court, Aurora, CO, 80011"
6295,Young Parenting Program,Currently unrated,6/10,"875 Peoria St, Aurora, CO, 80011"
6296,Aurora Youth Program,Currently unrated,6/10,"9641 E 16th Ave, Aurora, CO, 80010"
6297,Children Chalet,Currently unrated,6/10,"982 South Peoria Street, Aurora, CO, 80012"
6298,Kinder Learning Center,Currently unrated,6/10,"5678 South Himalaya Street, Aurora, CO, 80015"
6299,Aurora CCC-Salvation Army,Currently unrated,6/10,"802 Quarry Court, Aurora, CO, 80011"
6300,Young Parenting Program,Currently unrated,6/10,"875 Peoria St, Aurora, CO, 80011"
6301,Aurora Youth Program,Currently unrated,5/10,"9641 E 16th Ave, Aurora, CO, 80010"
6302,Children Chalet,Currently unrated,5/10,"982 South Peoria Street, Aurora, CO, 80012"
6303,Kinder Learning Center,Currently unrated,5/10,"5678 South Himalaya Street, Aurora, CO, 80015"
6304,Elsa England Elementary School,Top rated,5/10,"8801 Pearson Ranch Road, Austin, TX, 78717"
6305,Hill Country Middle School,Top rated,4/10,"1300 Walsh Tarlton Lane, Austin, TX, 78746"
6306,Barton Creek Elementary School,Top rated,3/10,"1370 Patterson Road, Austin, TX, 78733"
6307,Laurel Mountain Elementary School,Top rated,3/10,"10111 D-K Ranch Road, Austin, TX, 78759"
6308,Canyon Creek Elementary School,Top rated,10/10,"10210 Ember Glen Drive, Austin, TX, 78726"
6309,Laura Welch Bush Elementary School,Top rated,9/10,"12600 Country Trails Lane, Austin, TX, 78732"
6310,Canyon Ridge Middle School,Above average,9/10,"12601 Country Trails Lane, Austin, TX, 78732"
6311,Gorzycki Middle School,Above average,9/10,"7412 West Slaughter Lane, Austin, TX, 78749"
6312,Blazier Elementary School,Above average,9/10,"8601 Nuckols Crossing Road, Austin, TX, 78744"
6313,Rutledge Elementary School,Above average,9/10,"11501 Staked Plains Drive, Austin, TX, 78717"
6314,Serene Hills Elementary School,Above average,8/10,"3301 Serene Hills Dr, Austin, TX, 78738"
6315,Lasa High School,Above average,8/10,"7309 Lazy Creek Drive, Austin, TX, 78724"
6316,River Ridge Elementary School,Above average,8/10,"12900 Tierra Grande Trail, Austin, TX, 78732"
6317,Cedar Creek Elementary School,Above average,8/10,"3301 Pinnacle Road, Austin, TX, 78746"
6318,Westlake High School,Above average,8/10,"4100 Westbank Drive, Austin, TX, 78746"
6319,West Ridge Middle School,Above average,8/10,"9201 Scenic Bluff Drive, Austin, TX, 78733"
6320,Bridge Point El,Above average,8/10,"6401 Cedar Street, Austin, TX, 78746"
6321,Steiner Ranch Elementary School,Above average,8/10,"4001 North Quinlan Park Road, Austin, TX, 78732"
6322,Casis Elementary School,Above average,8/10,"2710 Exposition Boulevard, Austin, TX, 78703"
6323,Spicewood Elementary School,Above average,8/10,"11601 Olson Drive, Austin, TX, 78750"
6324,Purple Sage Elementary School,Above average,8/10,"11801 Tanglebriar Trail, Austin, TX, 78750"
6325,Canyon Vista Middle School,Above average,8/10,"8455 Spicewood Springs Road, Austin, TX, 78759"
6326,Kiker Elementary School,Above average,8/10,"5913 La Crosse Avenue, Austin, TX, 78739"
6327,Bowie High School,Above average,8/10,"4103 West Slaughter Lane, Austin, TX, 78749"
6328,Mills Elementary School,Above average,8/10,"6201 Davis Lane, Austin, TX, 78749"
6329,Elsa England Elementary School,Top rated,8/10,"8801 Pearson Ranch Road, Austin, TX, 78717"
6330,Hill Country Middle School,Top rated,8/10,"1300 Walsh Tarlton Lane, Austin, TX, 78746"
6331,Barton Creek Elementary School,Top rated,8/10,"1370 Patterson Road, Austin, TX, 78733"
6332,Laurel Mountain Elementary School,Top rated,8/10,"10111 D-K Ranch Road, Austin, TX, 78759"
6333,Canyon Creek Elementary School,Top rated,10/10,"10210 Ember Glen Drive, Austin, TX, 78726"
6334,Laura Welch Bush Elementary School,Top rated,9/10,"12600 Country Trails Lane, Austin, TX, 78732"
6335,Canyon Ridge Middle School,Above average,9/10,"12601 Country Trails Lane, Austin, TX, 78732"
6336,Gorzycki Middle School,Above average,9/10,"7412 West Slaughter Lane, Austin, TX, 78749"
6337,Blazier Elementary School,Above average,9/10,"8601 Nuckols Crossing Road, Austin, TX, 78744"
6338,Rutledge Elementary School,Above average,9/10,"11501 Staked Plains Drive, Austin, TX, 78717"
6339,Serene Hills Elementary School,Above average,8/10,"3301 Serene Hills Dr, Austin, TX, 78738"
6340,Lasa High School,Above average,8/10,"7309 Lazy Creek Drive, Austin, TX, 78724"
6341,River Ridge Elementary School,Above average,8/10,"12900 Tierra Grande Trail, Austin, TX, 78732"
6342,Cedar Creek Elementary School,Above average,8/10,"3301 Pinnacle Road, Austin, TX, 78746"
6343,Westlake High School,Above average,8/10,"4100 Westbank Drive, Austin, TX, 78746"
6344,West Ridge Middle School,Above average,8/10,"9201 Scenic Bluff Drive, Austin, TX, 78733"
6345,Bridge Point El,Above average,8/10,"6401 Cedar Street, Austin, TX, 78746"
6346,Steiner Ranch Elementary School,Above average,8/10,"4001 North Quinlan Park Road, Austin, TX, 78732"
6347,Casis Elementary School,Above average,8/10,"2710 Exposition Boulevard, Austin, TX, 78703"
6348,Spicewood Elementary School,Above average,8/10,"11601 Olson Drive, Austin, TX, 78750"
6349,Purple Sage Elementary School,Above average,8/10,"11801 Tanglebriar Trail, Austin, TX, 78750"
6350,Canyon Vista Middle School,Above average,8/10,"8455 Spicewood Springs Road, Austin, TX, 78759"
6351,Kiker Elementary School,Above average,8/10,"5913 La Crosse Avenue, Austin, TX, 78739"
6352,Bowie High School,Above average,8/10,"4103 West Slaughter Lane, Austin, TX, 78749"
6353,Mills Elementary School,Above average,8/10,"6201 Davis Lane, Austin, TX, 78749"
6354,Patsy Sommer Elementary School,Above average,8/10,"16200 Avery Ranch Boulevard, Austin, TX, 78717"
6355,Chaparral Star Academy,Above average,8/10,"14046 Summit Drive, Austin, TX, 78728"
6356,Lake Pointe Elementary School,Above average,8/10,"11801 Sonoma Dr, Austin, TX, 78738"
6357,Clayton Elementary School,Above average,8/10,"7525 La Crosse Avenue, Austin, TX, 78739"
6358,Richards School For Young Women Leade,Above average,8/10,"2206 Prather Lane, Austin, TX, 78704"
6359,Pearson Ranch Middle,Above average,8/10,"8901 Pearson Ranch Road, Austin, TX, 78717"
6360,Harmony School of Endeavor Austin,Above average,7/10,"13415 North FM 620, Austin, TX, 78717"
6361,Sycamore Springs Middle,Above average,7/10,"14451 Sawyer Ranch Rd, Austin, TX, 78737"
6362,Bluebonnet Trail Elementary School,Above average,7/10,"11316 Farmhaven Road, Austin, TX, 78754"
6363,Anderson High School,Above average,7/10,"8403 Mesa Drive, Austin, TX, 78759"
6364,Doss Elementary School,Above average,7/10,"7005 Northledge Drive, Austin, TX, 78731"
6365,Graham Elementary School,Above average,7/10,"11211 Tom Adams Drive, Austin, TX, 78753"
6366,Hill Elementary School,Above average,7/10,"8601 Tallwood Drive, Austin, TX, 78759"
6367,Mccallum High School,Above average,7/10,"5600 Sunshine Drive, Austin, TX, 78756"
6368,Kathy Caraway Elementary School,Above average,7/10,"11104 Oak View Drive, Austin, TX, 78759"
6369,Cedar Valley Middle School,Above average,7/10,"8139 Racine Trail, Austin, TX, 78717"
6370,Westwood High School,Above average,7/10,"12400 Mellow Meadow Drive, Austin, TX, 78750"
6371,Zilker Elementary School,Above average,7/10,"1900 Bluebonnet Lane, Austin, TX, 78704"
6372,Hudson Bend Middle School,Above average,7/10,"15600 Lariat Trail, Austin, TX, 78734"
6373,Guerrero Thompson,Above average,7/10,"102 East Rundberg Lane, Austin, TX, 78753"
6374,River Place Elementary School,Above average,7/10,"6500 Sitio Del Rio Boulevard, Austin, TX, 78730"
6375,Grandview Hills Elementary School,Above average,7/10,"12024 Vista Parke Drive, Austin, TX, 78726"
6376,Vandegrift High School,Above average,7/10,"9500 McNeil Drive, Austin, TX, 78750"
6377,Four Points Middle School,Above average,7/10,"9700 McNeil Drive, Austin, TX, 78750"
6378,IDEA Montopolis College Preparatory,Above average,7/10,"1701 Vargas Road, Austin, TX, 78741"
6379,Patsy Sommer Elementary School,Above average,7/10,"16200 Avery Ranch Boulevard, Austin, TX, 78717"
6380,Chaparral Star Academy,Above average,7/10,"14046 Summit Drive, Austin, TX, 78728"
6381,Lake Pointe Elementary School,Above average,7/10,"11801 Sonoma Dr, Austin, TX, 78738"
6382,Clayton Elementary School,Above average,7/10,"7525 La Crosse Avenue, Austin, TX, 78739"
6383,Richards School For Young Women Leade,Above average,8/10,"2206 Prather Lane, Austin, TX, 78704"
6384,Pearson Ranch Middle,Above average,8/10,"8901 Pearson Ranch Road, Austin, TX, 78717"
6385,Harmony School of Endeavor Austin,Above average,7/10,"13415 North FM 620, Austin, TX, 78717"
6386,Sycamore Springs Middle,Above average,7/10,"14451 Sawyer Ranch Rd, Austin, TX, 78737"
6387,Bluebonnet Trail Elementary School,Above average,7/10,"11316 Farmhaven Road, Austin, TX, 78754"
6388,Anderson High School,Above average,7/10,"8403 Mesa Drive, Austin, TX, 78759"
6389,Doss Elementary School,Above average,7/10,"7005 Northledge Drive, Austin, TX, 78731"
6390,Graham Elementary School,Above average,7/10,"11211 Tom Adams Drive, Austin, TX, 78753"
6391,Hill Elementary School,Above average,7/10,"8601 Tallwood Drive, Austin, TX, 78759"
6392,Mccallum High School,Above average,7/10,"5600 Sunshine Drive, Austin, TX, 78756"
6393,Kathy Caraway Elementary School,Above average,7/10,"11104 Oak View Drive, Austin, TX, 78759"
6394,Cedar Valley Middle School,Above average,7/10,"8139 Racine Trail, Austin, TX, 78717"
6395,Westwood High School,Above average,7/10,"12400 Mellow Meadow Drive, Austin, TX, 78750"
6396,Zilker Elementary School,Above average,7/10,"1900 Bluebonnet Lane, Austin, TX, 78704"
6397,Hudson Bend Middle School,Above average,7/10,"15600 Lariat Trail, Austin, TX, 78734"
6398,Guerrero Thompson,Above average,7/10,"102 East Rundberg Lane, Austin, TX, 78753"
6399,River Place Elementary School,Above average,7/10,"6500 Sitio Del Rio Boulevard, Austin, TX, 78730"
6400,Grandview Hills Elementary School,Above average,7/10,"12024 Vista Parke Drive, Austin, TX, 78726"
6401,Vandegrift High School,Above average,7/10,"9500 McNeil Drive, Austin, TX, 78750"
6402,Four Points Middle School,Above average,7/10,"9700 McNeil Drive, Austin, TX, 78750"
6403,IDEA Montopolis College Preparatory,Above average,7/10,"1701 Vargas Road, Austin, TX, 78741"
6404,KIPP Austin Obras,Above average,7/10,"5107 South Interstate 35 Frontage Road, Austin, TX, 78744"
6405,IDEA Rundberg College Preparatory,Above average,7/10,"9504 North Interstate 35 Frontage Road, Austin, TX, 78753"
6406,Lake Travis High School,Above average,7/10,"3324 Ranch Road 620 South, Austin, TX, 78738"
6407,Austin High School,Above average,7/10,"1715 West Cesar Chavez Street, Austin, TX, 78703"
6408,Becker Elementary School,Above average,7/10,"906 West Milton Street, Austin, TX, 78704"
6409,Brentwood Elementary School,Above average,7/10,"6700 Arroyo Seco, Austin, TX, 78757"
6410,Parmer Lane Elementary School,Above average,7/10,"1806 Parmer Lane, Austin, TX, 78727"
6411,Highland Park Elementary School,Above average,7/10,"4900 Fairview Drive, Austin, TX, 78731"
6412,Lee Elementary School,Above average,6/10,"3308 Hampton Road, Austin, TX, 78705"
6413,Reilly Elementary School,Above average,6/10,"405 Denson Drive, Austin, TX, 78752"
6414,Summitt Elementary School,Above average,6/10,"12207 Brigadoon Lane, Austin, TX, 78727"
6415,Kealing Middle School,Above average,6/10,"1607 Pennsylvania Avenue, Austin, TX, 78702"
6416,Baranoff Elementary School,Above average,6/10,"12009 Buckingham Gate Road, Austin, TX, 78748"
6417,Bee Cave Elementary School,Above average,6/10,"14300 Hamilton Pool Rd, Austin, TX, 78738"
6418,Decker Elementary School,Above average,6/10,"8500 Decker Lane, Austin, TX, 78724"
6419,Cowan Elementary School,Above average,6/10,"2817 Kentish Drive, Austin, TX, 78748"
6420,Nyos Charter School,Above average,6/10,"12301 North Lamar Boulevard, Austin, TX, 78753"
6421,Kipp Austin College Prep,Above average,6/10,"9509 Farm to Market 969, Austin, TX, 78724"
6422,University Of Texas Elementary Charter School,Average,6/10,"2200 East 6th Street, Austin, TX, 78702"
6423,International High School,Average,6/10,"1012 Arthur Stiles Road, Austin, TX, 78721"
6424,Baldwin Elementary School,Average,6/10,"12200 Meridian Park Boulevard, Austin, TX, 78739"
6425,Rooster Springs Elementary School,Average,6/10,"1001 Belterra Dr, Austin, TX, 78737"
6426,Pioneer Crossing Elementary School,Average,6/10,"11300 Samsung Boulevard, Austin, TX, 78754"
6427,Kipp Austin Academy Of Arts & Lett,Average,6/10,"8509 Farm to Market 969, Austin, TX, 78724"
6428,The East Austin College Prep Acade,Average,6/10,"6002 Jain Lane, Austin, TX, 78721"
6429,KIPP Austin Obras,Above average,6/10,"5107 South Interstate 35 Frontage Road, Austin, TX, 78744"
6430,IDEA Rundberg College Preparatory,Above average,6/10,"9504 North Interstate 35 Frontage Road, Austin, TX, 78753"
6431,Lake Travis High School,Above average,6/10,"3324 Ranch Road 620 South, Austin, TX, 78738"
6432,Austin High School,Above average,6/10,"1715 West Cesar Chavez Street, Austin, TX, 78703"
6433,Becker Elementary School,Above average,7/10,"906 West Milton Street, Austin, TX, 78704"
6434,Brentwood Elementary School,Above average,7/10,"6700 Arroyo Seco, Austin, TX, 78757"
6435,Parmer Lane Elementary School,Above average,7/10,"1806 Parmer Lane, Austin, TX, 78727"
6436,Highland Park Elementary School,Above average,7/10,"4900 Fairview Drive, Austin, TX, 78731"
6437,Lee Elementary School,Above average,6/10,"3308 Hampton Road, Austin, TX, 78705"
6438,Reilly Elementary School,Above average,6/10,"405 Denson Drive, Austin, TX, 78752"
6439,Summitt Elementary School,Above average,6/10,"12207 Brigadoon Lane, Austin, TX, 78727"
6440,Kealing Middle School,Above average,6/10,"1607 Pennsylvania Avenue, Austin, TX, 78702"
6441,Baranoff Elementary School,Above average,6/10,"12009 Buckingham Gate Road, Austin, TX, 78748"
6442,Bee Cave Elementary School,Above average,6/10,"14300 Hamilton Pool Rd, Austin, TX, 78738"
6443,Decker Elementary School,Above average,6/10,"8500 Decker Lane, Austin, TX, 78724"
6444,Cowan Elementary School,Above average,6/10,"2817 Kentish Drive, Austin, TX, 78748"
6445,Nyos Charter School,Above average,6/10,"12301 North Lamar Boulevard, Austin, TX, 78753"
6446,Kipp Austin College Prep,Above average,6/10,"9509 Farm to Market 969, Austin, TX, 78724"
6447,University Of Texas Elementary Charter School,Average,6/10,"2200 East 6th Street, Austin, TX, 78702"
6448,International High School,Average,6/10,"1012 Arthur Stiles Road, Austin, TX, 78721"
6449,Baldwin Elementary School,Average,6/10,"12200 Meridian Park Boulevard, Austin, TX, 78739"
6450,Rooster Springs Elementary School,Average,6/10,"1001 Belterra Dr, Austin, TX, 78737"
6451,Pioneer Crossing Elementary School,Average,6/10,"11300 Samsung Boulevard, Austin, TX, 78754"
6452,Kipp Austin Academy Of Arts & Lett,Average,6/10,"8509 Farm to Market 969, Austin, TX, 78724"
6453,The East Austin College Prep Acade,Average,6/10,"6002 Jain Lane, Austin, TX, 78721"
6454,Smith Elementary School,Average,6/10,"4209 Smith School Road, Austin, TX, 78744"
6455,The Real Learning Academy,Average,6/10,"6405 South Interstate 35 Frontage Road, Austin, TX, 78744"
6456,Harmony School of Science - Austin,Average,6/10,"11800 Stonehollow Drive, Austin, TX, 78758"
6457,Kipp Austin Vista Middle Schools,Average,6/10,"8509 Farm to Market 969, Austin, TX, 78724"
6458,Kipp Austin Comunidad,Average,6/10,"8509 Farm to Market 969, Austin, TX, 78724"
6459,Valley View Elementary School,Average,6/10,"360 Loop Court, Austin, TX, 78746"
6460,IDEA Montopolis Academy,Average,6/10,"1701 Vargas Road, Austin, TX, 78741"
6461,Harmony School of Innovation,Average,6/10,"2124 East Saint Elmo Road, Austin, TX, 78744"
6462,IDEA Rundberg Academy,Average,6/10,"9504 North Interstate 35 Frontage Road, Austin, TX, 78753"
6463,Cedars Academy Next Generation H S at Highland,Average,6/10,"6700 Middle Fiskville Road, Austin, TX, 78752"
6464,Idea Bluff Springs College Preparatory,Average,6/10,"1700 East Slaughter Lane, Austin, TX, 78744"
6465,Sycamore Springs Elementary School,Average,5/10,"14451 Sawyer Ranch Rd, Austin, TX, 78737"
6466,Lake Travis Elementary School,Average,5/10,"15303 Kollmeyer Dr, Austin, TX, 78734"
6467,Barton Hills Elementary School,Average,5/10,"2108 Barton Hills Drive, Austin, TX, 78704"
6468,Bryker Woods Elementary School,Average,5/10,"3309 Kerbey Lane, Austin, TX, 78703"
6469,River Oaks Elementary School,Average,5/10,"12401 Scofield Farms Drive, Austin, TX, 78758"
6470,Gullett Elementary School,Average,5/10,"6310 Treadwell Boulevard, Austin, TX, 78757"
6471,Lamar Middle School,Average,5/10,"6201 Wynona Avenue, Austin, TX, 78757"
6472,Mathews Elementary School,Average,5/10,"906 West Lynn Street, Austin, TX, 78703"
6473,Metz Elementary School,Average,5/10,"84 Robert Martinez Junior Street, Austin, TX, 78702"
6474,Norman Elementary School,Average,5/10,"4001 Tannehill Lane, Austin, TX, 78721"
6475,Travis Heights Elementary School,Average,5/10,"2010 Alameda Drive, Austin, TX, 78704"
6476,Jollyville Elementary School,Average,5/10,"6720 Corpus Christi Drive, Austin, TX, 78729"
6477,Noel Grisham Middle School,Average,5/10,"10805 School House Lane, Austin, TX, 78750"
6478,Mcneil High School,Average,5/10,"5720 McNeil Drive, Austin, TX, 78729"
6479,Smith Elementary School,Average,5/10,"4209 Smith School Road, Austin, TX, 78744"
6480,The Real Learning Academy,Average,5/10,"6405 South Interstate 35 Frontage Road, Austin, TX, 78744"
6481,Harmony School of Science - Austin,Average,5/10,"11800 Stonehollow Drive, Austin, TX, 78758"
6482,Kipp Austin Vista Middle Schools,Average,5/10,"8509 Farm to Market 969, Austin, TX, 78724"
6483,Kipp Austin Comunidad,Average,6/10,"8509 Farm to Market 969, Austin, TX, 78724"
6484,Valley View Elementary School,Average,6/10,"360 Loop Court, Austin, TX, 78746"
6485,IDEA Montopolis Academy,Average,6/10,"1701 Vargas Road, Austin, TX, 78741"
6486,Harmony School of Innovation,Average,6/10,"2124 East Saint Elmo Road, Austin, TX, 78744"
6487,IDEA Rundberg Academy,Average,6/10,"9504 North Interstate 35 Frontage Road, Austin, TX, 78753"
6488,Cedars Academy Next Generation H S at Highland,Average,6/10,"6700 Middle Fiskville Road, Austin, TX, 78752"
6489,Idea Bluff Springs College Preparatory,Average,6/10,"1700 East Slaughter Lane, Austin, TX, 78744"
