,School,Type,Grades,Total students enrolled,Students per teacher,Reviews,District
6,"9/10Above averageCougar Ridge Elementary School4630 167th Avenue Southeast, Bellevue, WA, 98006 Homes for sale",Public district,K-5,583.0,20:1,11 reviews,Issaquah School District
7,"8/10Above averageBellevue High School1 awardAwards & BadgesCollege Success Award2020See all winners in Washington10416 Wolverine Way, Bellevue, WA, 98004 Homes for sale",Public district,9-12,1563.0,19:1,6 reviews,Bellevue School District
8,"8/10Above averageInterlake Senior High School1 awardAwards & BadgesCollege Success Award2020See all winners in Washington16245 Ne 24th Street, Bellevue, WA, 98008 Homes for sale",Public district,9-12,1679.0,18:1,18 reviews,Bellevue School District
9,"8/10Above averageSpiritridge Elementary School16401 Southeast 24th Street, Bellevue, WA, 98008 Homes for sale",Public district,K-5,697.0,18:1,13 reviews,Bellevue School District
10,"8/10Above averageSunset Elementary School4229 West Lake Sammamish Parkway Southeast, Bellevue, WA, 98008 Homes for sale",Public district,PK-5,626.0,22:1,6 reviews,Issaquah School District
11,"7/10Above averageChinook Middle School2001 98th Ave NE, Bellevue, WA, 98004 Homes for sale",Public district,6-8,988.0,17:1,4 reviews,Bellevue School District
12,"7/10Above averageEastgate Elementary School4255 153rd Avenue Southeast, Bellevue, WA, 98006 Homes for sale",Public district,PK-5,460.0,13:1,10 reviews,Bellevue School District
13,"7/10Above averageEnatai Elementary School10700 Southeast 25th Street, Bellevue, WA, 98004 Homes for sale",Public district,PK-5,587.0,15:1,8 reviews,Bellevue School District
14,"7/10Above averagePhantom Lake Elementary School1050 160th Avenue Southeast, Bellevue, WA, 98008 Homes for sale",Public district,PK-5,417.0,13:1,7 reviews,Bellevue School District
15,"7/10Above averageSammamish Senior High School1 awardAwards & BadgesCollege Success Award2020See all winners in Washington100 140th Avenue Southeast, Bellevue, WA, 98005 Homes for sale",Public district,9-12,1105.0,17:1,13 reviews,Bellevue School District
16,"7/10Above averagePuesta Del Sol Elementary School3810 132nd Avenue Southeast, Bellevue, WA, 98006 Homes for sale",Public district,PK-5,563.0,18:1,11 reviews,Bellevue School District
17,"7/10Above averageTillicum Middle School11650 Southeast 60th Street, Bellevue, WA, 98006 Homes for sale",Public district,6-8,682.0,15:1,7 reviews,Bellevue School District
18,"7/10Above averageTyee Middle School13630 Southeast Allen Road, Bellevue, WA, 98006 Homes for sale",Public district,6-8,1005.0,16:1,3 reviews,Bellevue School District
19,"6/10AverageNewport Heights Elementary School5225 119th Avenue Southeast, Bellevue, WA, 98006 Homes for sale",Public district,K-5,599.0,19:1,14 reviews,Bellevue School District
20,"6/10AverageOdle Middle School502 143rd Avenue Northeast, Bellevue, WA, 98007 Homes for sale",Public district,6-8,1055.0,16:1,11 reviews,Bellevue School District
21,"6/10AverageWoodridge Elementary School12619 Se 20th Place, Bellevue, WA, 98005 Homes for sale",Public district,K-5,676.0,14:1,17 reviews,Bellevue School District
22,"6/10AverageBellevue Big Picture School14844 Southeast 22nd Street, Bellevue, WA, 98007 Homes for sale",Public district,6-12,381.0,13:1,8 reviews,Bellevue School District
23,"4/10Below averageArdmore Elementary School16616 Northeast 32nd Street, Bellevue, WA, 98008 Homes for sale",Public district,PK-5,420.0,14:1,20 reviews,Bellevue School District
24,"4/10Below averageStevenson Elementary School14220 Northeast 8th Street, Bellevue, WA, 98007 Homes for sale",Public district,PK-5,546.0,14:1,6 reviews,Bellevue School District
0,"8/10Above averageLowell Elementary School935 14th Street, Bellingham, WA, 98225 Homes for sale",Public district,PK-5,291.0,17:1,2 reviews,Bellingham Public Schools
1,"8/10Above averageSehome High School1 awardAwards & BadgesCollege Success Award2020See all winners in Washington2700 Bill McDonald Parkway, Bellingham, WA, 98225 Homes for sale",Public district,9-12,1175.0,23:1,7 reviews,Bellingham Public Schools
2,"7/10Above averageColumbia Elementary School2508 Utter Street, Bellingham, WA, 98225 Homes for sale",Public district,PK-5,294.0,19:1,5 reviews,Bellingham Public Schools
3,"7/10Above averageSilver Beach Elementary School4101 Academy St, Bellingham, WA, 98226 Homes for sale",Public district,PK-5,475.0,21:1,8 reviews,Bellingham Public Schools
4,"7/10Above averageBellingham High School2020 Cornwall Ave, Bellingham, WA, 98225 Homes for sale",Public district,9-12,1119.0,23:1,8 reviews,Bellingham Public Schools
5,"6/10AverageMeridian High School194 West Laurel Road, Bellingham, WA, 98226 Homes for sale",Public district,9-12,509.0,20:1,7 reviews,Meridian School District
6,"6/10AverageHarmony Elementary School5060 Sand Rd, Bellingham, WA, 98226 Homes for sale",Public district,K-6,338.0,16:1,2 reviews,Mount Baker School District
7,"6/10AverageFairhaven Middle School110 Park Ridge Rd, Bellingham, WA, 98225 Homes for sale",Public district,6-8,627.0,19:1,7 reviews,Bellingham Public Schools
8,"6/10AverageWhatcom Middle School810 Halleck St, Bellingham, WA, 98225 Homes for sale",Public district,6-8,717.0,19:1,5 reviews,Bellingham Public Schools
9,"5/10AverageHappy Valley Elementary School1041 24th St, Bellingham, WA, 98225 Homes for sale",Public district,PK-5,439.0,19:1,3 reviews,Bellingham Public Schools
10,"5/10AverageParkview Elementary School3033 Coolidge Drive, Bellingham, WA, 98225 Homes for sale",Public district,PK-5,317.0,18:1,6 reviews,Bellingham Public Schools
11,"5/10AverageRoosevelt Elementary School2900 Yew St, Bellingham, WA, 98226 Homes for sale",Public district,PK-5,379.0,15:1,5 reviews,Bellingham Public Schools
12,"5/10AverageSqualicum High School3773 East Mcleod Rd, Bellingham, WA, 98226 Homes for sale",Public district,9-12,1317.0,23:1,4 reviews,Bellingham Public Schools
13,"4/10Below averageAlderwood Elementary School3400 Hollywood Ave, Bellingham, WA, 98225 Homes for sale",Public district,PK-5,365.0,12:1,7 reviews,Bellingham Public Schools
14,"4/10Below averageBirchwood Elementary School3200 Pinewood Ave, Bellingham, WA, 98225 Homes for sale",Public district,PK-5,337.0,16:1,2 reviews,Bellingham Public Schools
15,"4/10Below averageCarl Cozier Elementary School1330 Lincoln St, Bellingham, WA, 98229 Homes for sale",Public district,PK-5,319.0,15:1,4 reviews,Bellingham Public Schools
16,"4/10Below averageGeneva Elementary School1401 Geneva St, Bellingham, WA, 98229 Homes for sale",Public district,PK-5,465.0,19:1,5 reviews,Bellingham Public Schools
17,"4/10Below averageSunnyland Elementary School2800 James St, Bellingham, WA, 98225 Homes for sale",Public district,PK-5,300.0,14:1,8 reviews,Bellingham Public Schools
18,"4/10Below averageKulshan Middle School1250 Kenoyer Dr, Bellingham, WA, 98229 Homes for sale",Public district,6-8,587.0,17:1,11 reviews,Bellingham Public Schools
19,"4/10Below averageWade King Elementary School2155 Yew St Rd, Bellingham, WA, 98229 Homes for sale",Public district,PK-5,411.0,16:1,8 reviews,Bellingham Public Schools
20,"3/10Below averageShuksan Middle School2717 Alderwood Avenue, Bellingham, WA, 98225 Homes for sale",Public district,6-8,662.0,17:1,9 reviews,Bellingham Public Schools
21,"3/10Below averageNorthern Heights Elementary School4000 Magrath Rd, Bellingham, WA, 98226 Homes for sale",Public district,PK-5,425.0,17:1,8 reviews,Bellingham Public Schools
22,"3/10Below averageWindward High School5275 Northwest Drive, Bellingham, WA, 98226 Homes for sale",Public district,9-12,90.0,20:1,No reviews yet,Ferndale School District
23,"2/10Below averageOptions High School2015 Franklin St, Bellingham, WA, 98225 Homes for sale",Public district,9-12,157.0,17:1,3 reviews,Bellingham Public Schools
24,"2/10Below averageCordata Elementary School4420 Aldrich Road, Bellingham, WA, 98226 Homes for sale",Public district,PK-5,371.0,14:1,4 reviews,Bellingham Public Schools
0,"7/10Above averageTownview Elementary School2442 West Beloit Newark Road, Beloit, WI, 53511 Homes for sale",Public district,3-5,336.0,17:1,4 reviews,Beloit Turner School District
1,"6/10AverageTurner High School1231 East Inman Parkway, Beloit, WI, 53511 Homes for sale",Public district,9-12,451.0,17:1,2 reviews,Beloit Turner School District
2,"5/10AverageTurner Middle School1237 East Inman Parkway, Beloit, WI, 53511 Homes for sale",Public district,6-8,365.0,17:1,1 review,Beloit Turner School District
3,"3/10Below averageConverse Elementary School1602 Townline Avenue, Beloit, WI, 53511 Homes for sale",Public district,PK-3,401.0,13:1,3 reviews,Beloit School District
4,"3/10Below averageHackett Elementary School625 8th Street, Beloit, WI, 53511 Homes for sale",Public district,PK-3,376.0,12:1,No reviews yet,Beloit School District
5,"3/10Below averageRobinson Elementary School1801 Cranston Road, Beloit, WI, 53511 Homes for sale",Public district,PK-3,463.0,13:1,2 reviews,Beloit School District
6,"2/10Below averageAldrich Middle School1859 Northgate Drive, Beloit, WI, 53511 Homes for sale",Public district,4-8,507.0,13:1,4 reviews,Beloit School District
7,"2/10Below averageCunningham Elementary School910 Townline Avenue, Beloit, WI, 53511 Homes for sale",Public district,4-8,623.0,14:1,No reviews yet,Beloit School District
8,"2/10Below averageGaston Elementary School1515 West Grand Avenue, Beloit, WI, 53511 Homes for sale",Public district,PK-3,345.0,13:1,3 reviews,Beloit School District
9,"2/10Below averageMemorial High School1225 4th Street, Beloit, WI, 53511 Homes for sale",Public district,9-12,1768.0,19:1,11 reviews,Beloit School District
10,"2/10Below averageMerrill Elementary School1635 Nelson Avenue, Beloit, WI, 53511 Homes for sale",Public district,PK-3,249.0,10:1,2 reviews,Beloit School District
11,"2/10Below averageTodd Elementary School1621 Oakwood Avenue, Beloit, WI, 53511 Homes for sale",Public district,PK-3,483.0,12:1,7 reviews,Beloit School District
12,"2/10Below averageMcneel Middle School1524 Frederick Street, Beloit, WI, 53511 Homes for sale",Public district,4-8,649.0,16:1,2 reviews,Beloit School District
13,"1/10Below averageRoy Chapman Andrews Academy1033 Woodward Avenue, Beloit, WI, 53511 Homes for sale",Public charter,6-12,33.0,27:1,2 reviews,Beloit School District
14,"1/10Below averageBeloit Virtual School1633 Keeler Avenue, Beloit, WI, 53511 Homes for sale",Public district,PK-12,41.0,10:1,No reviews yet,Beloit School District
15,"1/10Below averageFran Fruzen Intermediate School2600 Milwaukee Road, Beloit, WI, 53511 Homes for sale",Public district,4-8,641.0,15:1,No reviews yet,Beloit School District
16,"Currently unratedBrother Dutton Catholic School717 Hackett St, Beloit, WI, 53511 Homes for sale",Private,PK-8,,,No reviews yet,
17,"Currently unratedOur Lady Of The Assumption School2222 Shopiere Road, Beloit, WI, 53511 Homes for sale",Private,PK-8,168.0,,No reviews yet,
18,"Currently unratedSt Johns Lutheran School1000 Bluff Street, Beloit, WI, 53511 Homes for sale",Private,PK-5,29.0,,2 reviews,
19,"Currently unratedCalvary Christian School1907 McKinley Avenue, Beloit, WI, 53511 Homes for sale",Private,12,,,No reviews yet,
20,"Currently unratedRock County Christian School916 Bushnell Street, Beloit, WI, 53511 Homes for sale",Private,PK-12,159.0,,13 reviews,
21,"Currently unratedShepards Day Care1022 Froebel Dr, Beloit, WI, 53511 Homes for sale",Private,PK,,,No reviews yet,
22,"Currently unratedKids Beloit Wrap Around Lc1221 Henry Avenue, Beloit, WI, 53511 Homes for sale",Private,PK,,,No reviews yet,
23,"Currently unratedKiddie Ranch Family Day Care1702 House Street, Beloit, WI, 53511 Homes for sale",Private,PK,,,1 review,
24,"Currently unratedGehri Family Day Care Home1420 East Stratford Drive, Beloit, WI, 53511 Homes for sale",Private,PK,,,No reviews yet,
0,"9/10Above averageHighland School At Kenwood Elementary School701 Northwest Newport Avenue, Bend, OR, 97701 Homes for sale",Public district,K-5,392.0,22:1,3 reviews,Bend-La Pine Schools
1,"9/10Above averagePine Ridge Elementary School19840 Hollygrape Street, Bend, OR, 97702 Homes for sale",Public district,K-5,518.0,19:1,11 reviews,Bend-La Pine Schools
2,"8/10Above averageLava Ridge Elementary School20805 Cooley Road, Bend, OR, 97701 Homes for sale",Public district,K-5,599.0,20:1,5 reviews,Bend-La Pine Schools
3,"8/10Above averageTumalo Community School19835 2nd Street, Bend, OR, 97701 Homes for sale",Public district,K-8,398.0,19:1,11 reviews,Redmond School District 2j
4,"7/10Above averageHigh Lakes Elementary School2500 Northwest High Lakes Loop, Bend, OR, 97701 Homes for sale",Public district,K-5,621.0,24:1,11 reviews,Bend-La Pine Schools
5,"7/10Above averageSky View Middle School63555 Northeast 18th Street, Bend, OR, 97701 Homes for sale",Public district,6-8,689.0,24:1,10 reviews,Bend-La Pine Schools
6,"7/10Above averageBuckingham Elementary School62560 Hamby Road, Bend, OR, 97701 Homes for sale",Public district,K-5,579.0,20:1,7 reviews,Bend-La Pine Schools
7,"7/10Above averagePonderosa Elementary63100 Northeast Purcell Boulevard, Bend, OR, 97701 Homes for sale",Public district,K-5,584.0,26:1,6 reviews,Bend-La Pine Schools
8,"7/10Above averageWilliam E Miller Elementary300 Nw Crosby Dr, Bend, OR, 97701 Homes for sale",Public district,K-5,645.0,25:1,5 reviews,Bend-La Pine Schools
9,"7/10Above averageSilver Rail Elementary School61530 Se Stone Creek St, Bend, OR, 97702 Homes for sale",Public district,K-5,472.0,19:1,3 reviews,Bend-La Pine Schools
10,"6/10AverageRealms (Rimrock Expeditionary Alternative Learning63175 O. B. Riley Road, Bend, OR, 97701 Homes for sale",Public district,6-8,153.0,17:1,5 reviews,Bend-La Pine Schools
11,"6/10AverageBend Senior High School230 Northeast 6th Street, Bend, OR, 97701 Homes for sale",Public district,9-12,1774.0,25:1,2 reviews,Bend-La Pine Schools
12,"6/10AveragePacific Crest Middle School3030 Northwest Elwood Lane, Bend, OR, 97703 Homes for sale",Public district,6-8,764.0,25:1,No reviews yet,Bend-La Pine Schools
13,"5/10AverageSummit High School2855 Northwest Clearwater Drive, Bend, OR, 97701 Homes for sale",Public district,9-12,1601.0,27:1,15 reviews,Bend-La Pine Schools
14,"5/10AverageEnsworth Elementary School2150 Northeast Daggett Lane, Bend, OR, 97701 Homes for sale",Public district,K-5,211.0,17:1,5 reviews,Bend-La Pine Schools
15,"5/10AverageJuniper Elementary School1300 Northeast Norton Avenue, Bend, OR, 97701 Homes for sale",Public district,K-5,527.0,19:1,3 reviews,Bend-La Pine Schools
16,"5/10AverageR E Jewell Elementary School20550 Murphy Road, Bend, OR, 97702 Homes for sale",Public district,K-5,524.0,18:1,7 reviews,Bend-La Pine Schools
17,"5/10AveragePilot Butte Middle School1501 Northeast Neff Road, Bend, OR, 97701 Homes for sale",Public district,6-8,652.0,22:1,7 reviews,Bend-La Pine Schools
18,"5/10AverageAmity Creek Elementary School437 Northwest Wall Street, Bend, OR, 97701 Homes for sale",Public district,K-5,165.0,23:1,5 reviews,Bend-La Pine Schools
19,"5/10AverageBend International School63020 O. B. Riley Road, Bend, OR, 97701 Homes for sale",Public charter,K-8,190.0,16:1,No reviews yet,Bend-La Pine Schools
20,"4/10Below averageWestside Village Magnet School At Kingston Element1101 Northwest 12th Street, Bend, OR, 97701 Homes for sale",Public district,K-8,268.0,22:1,4 reviews,Bend-La Pine Schools
21,"4/10Below averageElk Meadow Elementary School60880 Brookswood Boulevard, Bend, OR, 97702 Homes for sale",Public district,K-5,585.0,20:1,9 reviews,Bend-La Pine Schools
22,"4/10Below averageBear Creek Elementary School51 Southeast 13th Street, Bend, OR, 97702 Homes for sale",Public district,K-5,569.0,16:1,6 reviews,Bend-La Pine Schools
23,"4/10Below averageCascade Middle School19619 Mountaineer Way, Bend, OR, 97702 Homes for sale",Public district,6-8,668.0,23:1,12 reviews,Bend-La Pine Schools
